강릉, ,20 이상, , ,26.7,18.8,27.8, ,62,동북동,,1014.8
강진군, ,20 이상, , ,28.1,23.0,30.2, ,74,서북서,,1014.6
강화, ,20 이상, , ,24.3,21.6,27.1, ,85,서,,1016.5
거제, ,8.8, , ,27.3,24.1,30.0, ,83,남서,,1015.6
거창, ,20 이상, , ,25.6,20.8,27.7,0.3,75,정온,,1015.3
경주시, ,17.6, , ,27.7,21.2,29.3,0.0,68,남,,1015.2
고산, ,20 이상, , ,28.1,26.4,31.5, ,91,서남서,,1015.6
고창군, ,9.7, , ,24.6,21.1,27.1,0.3,81,서,,1016.1
고흥, ,20 이상, , ,27.2,23.4,29.7, ,80,남,,1015.2
광양시, ,19.3, , ,27.8,25.0,30.7,0.1,85,서남서,,1015.3
광주,흐림,20 이상,10,8,27.9,24.9,30.7,0.0,84,서남서,,1015.5
구미, ,20 이상, , ,24.5,20.1,26.7,0.0,77,서,,1015.8
군산, ,15.4, , ,23.8,20.9,26.5,0.0,84,북북서,,1016.8
금산, ,19.6, , ,23.6,20.1,26.1, ,81,서,,1016.4
김해시, ,18.7, , ,26.8,22.8,29.2, ,79,남동,,1015.8
남원, ,20 이상, , ,26.7,22.5,29.1,0.0,78,북북서,,1015.4
남해, ,18.0, , ,27.4,23.8,30.0, ,81,남남서,,1014.9
대관령, ,12.8, , ,21.1,15.6,22.9, ,71,서북서,,1014.5
대구, ,20 이상, , ,27.8,16.1,27.8,0.2,49,북북서,,1015.1
대전,박무,8.2,10,10,24.4,23.1,27.8,0.1,93,북,,1016.6
동두천, ,20 이상, , ,25.5,20.7,27.6,0.0,75,서남서,,1015.8
동해, ,20 이상, , ,24.1,18.5,25.9,0.0,71,정온,,1015.0
목포, ,1.9, , ,23.4,22.1,26.7,8.9,93,북서,,1016.9
문경, ,20 이상, , ,23.3,20.2,25.9,0.1,83,정온,,1015.3
밀양, ,19.9, , ,28.2,20.4,29.4,0.0,63,북북서,,1014.2
백령도, ,20 이상, , ,24.6,18.5,26.3,0.1,69,북서,,1014.8
보령, ,16.8, , ,23.3,20.4,26.0,0.1,84,정온,,1015.6
보성군, ,20 이상, , ,28.1,25.5,31.1, ,86,서북서,,1014.4
보은, ,13.7, , ,22.9,20.6,25.8,0.4,87,정온,,1016.3
봉화, ,18.1, , ,20.6,17.7,23.2,0.0,84,서,,1016.0
부산, ,20 이상, , ,26.1,17.9,27.1, ,61,동,,1014.1
부안, ,9.9, , ,24.1,21.7,27.0,0.0,87,서북서,,1016.8
부여, ,12.9, , ,22.9,21.3,26.1,0.0,91,정온,,1017.2
북강릉, ,18.1, , ,23.1,18.8,25.3, ,77,서북서,,1014.5
북창원, ,20 이상, , ,28.5,23.8,30.7, ,76,정온,,1014.5
북춘천, , , , ,26.1,20.1,27.8, ,70,서,,1015.2
산청, ,20 이상, , ,26.4,23.2,29.1,0.1,83,남남서,,1015.5
상주, ,20 이상, , ,23.2,20.5,26.0,0.0,85,정온,,1015.9
서귀포,흐림,20 이상,9,0,27.4,24.4,30.2, ,84,남서,,1015.7
서산, ,20 이상, , ,24.6,21.9,27.4,0.1,85,북,,1016.5
서울, ,20 이상, , ,26.8,19.1,28.0,0.0,63,서,,1015.4
성산, ,20 이상, , ,28.3,22.7,30.2, ,72,서,,1015.9
세종, ,20 이상, , ,23.7,20.2,26.2,0.4,81,정온,,1015.9
속초, ,19.3, , ,25.0,17.9,26.4,0.0,65,남,,1014.3
수원, ,6.6, , ,25.9,22.7,28.6,0.0,83,서,,1016.2
순창군, ,20 이상, , ,27.2,24.2,30.0,0.0,84,남서,,1015.5
순천, ,3.4, , ,25.7,25.1,29.4,4.0,97,서남서,,1014.2
안동,흐림,18.3,9,7,23.7,20.4,26.3,0.0,82,북북서,,1016.3
양산시, ,20 이상, , ,28.3,23.8,30.6, ,77,서북서,,1014.7
양평, ,11.6, , ,25.1,21.3,27.6, ,80,남,,1016.6
여수, ,15.6, , ,28.1,24.5,30.7, ,81,남서,,1015.2
영광군, ,2.1, , ,23.7,21.2,26.6,3.0,86,서북서,,1017.0
영덕, ,20 이상, , ,22.8,19.1,25.2,0.0,80,남남동,,1015.2
영월, ,9.1, , ,23.6,18.6,25.6,0.0,74,남서,,1015.7
영주, ,20 이상, , ,22.5,16.7,24.2,0.0,70,서북서,,1016.2
영천, ,20 이상, , ,26.1,20.1,27.8,0.2,70,북서,,1015.7
완도, ,17.4, , ,26.8,23.0,29.3, ,80,서,,1015.7
울릉도, ,19.4, , ,23.9,20.4,26.4, ,81,북북동,,1014.3
울산, ,20 이상, , ,26.0,20.5,27.9,0.0,72,정온,,1014.8
울진, ,20 이상, , ,24.3,18.6,26.1,0.0,71,남,,1015.3
원주, ,15.3, , ,24.6,18.7,26.3,0.0,70,남남서,,1015.6
의령군, ,20 이상, , ,27.4,23.0,29.7, ,77,북북서,,1015.0
의성, ,20 이상, , ,24.8,20.9,27.2, ,79,북북동,,1014.7
이천, ,5.8, , ,25.4,20.6,27.5,0.0,75,남서,,1016.3
인제, ,20 이상, , ,25.4,18.0,26.7, ,64,남남서,,1015.1
인천,흐림,11.5,9,4,25.5,19.1,27.1,0.0,68,서,,1015.7
임실, ,18.9, , ,24.8,21.1,27.3,0.1,80,정온,,1016.0
장수, ,20 이상, , ,23.6,21.1,26.5,0.3,86,북,,1015.3
장흥, ,20 이상, , ,28.2,23.9,30.6, ,78,서,,1015.2
전주, ,12.3, , ,24.9,20.9,27.3,0.0,79,북서,,1015.8
정선군, ,15.9, , ,23.4,19.5,25.8,0.0,79,서북서,,1015.5
정읍, ,10.9, , ,23.3,20.4,26.0,0.2,84,동남동,,1016.3
제주, ,20 이상, , ,28.7,24.8,31.3,0.0,80,동북동,,1015.7
제천, ,11.4, , ,23.0,21.0,26.0, ,89,남남서,,1016.1
진도군, ,12.5, , ,23.9,21.9,27.0,0.0,89,북서,,1015.9
진주, ,19.9, , ,27.9,25.1,30.8, ,85,정온,,1015.0
창원, ,20 이상, , ,27.3,23.3,29.7, ,79,정온,,1014.5
천안, ,8.1, , ,23.7,22.1,26.9,0.0,91,정온,,1016.9
철원, ,20 이상, , ,25.5,20.5,27.5,0.0,74,남서,,1015.7
청송군, , , , ,24.1,20.6,26.6,0.0,81,서남서,,1015.9
청주,흐림,15.5,10,10,25.6,18.0,26.8,0.0,63,동북동,,1016.1
추풍령, ,20 이상, , ,23.2,18.0,25.1, ,73,정온,,1015.4
충주, ,13.4, , ,23.5,20.2,26.1,0.1,82,남동,,1016.1
태백, ,20 이상, , ,20.8,15.3,22.6,0.0,71,북,,1015.0
통영, ,13.7, , ,28.0,24.8,30.8, ,83,남서,,1015.2
파주, ,14.0, , ,25.2,21.2,27.6, ,79,남서,,1016.1
포항,흐림,20 이상,9,5,26.9,19.5,28.2,0.0,64,북동,,1015.5
함양군, ,20 이상, , ,27.1,23.7,29.8,0.0,82,동남동,,1015.1
합천, ,20 이상, , ,25.8,22.6,28.5,0.3,83,정온,,1015.2
해남, ,20 이상, , ,25.8,22.6,28.5, ,83,서,,1016.2
홍성, ,20 이상, , ,25.1,20.1,27.1,0.0,74,정온,,1016.4
홍천, ,20 이상, , ,25.5,19.8,27.3, ,71,남서,,1015.6
흑산도, ,4.0, , ,22.3,22.1,26.0,21.5,99,남,,1015.4
