강릉, ,20 이상, , ,25.4,16.5,26.2, ,58,동,,1011.8
강진군, ,20 이상, , ,22.1,20.5,25.3,3.0,91,동,,1007.6
강화, ,14.5, , ,24.6,17.8,26.0, ,66,동남동,,1010.5
거제, ,17.6, , ,22.9,18.8,25.2,6.6,78,북북동,,1009.2
거창, ,5.6, , ,19.6,18.2,22.7,2.8,92,정온,,1009.9
경주시, ,15.2, , ,21.2,19.4,24.3,6.3,90,북,,1010.3
고산, ,19.8, , ,25.9,24.6,29.3,14.2,93,북동,,1007.0
고창, ,20 이상, , ,25.5,20.9,27.7,6.4,76,북,,1008.4
고창군,구름많음,20 이상,7,1,24.5,19.3,26.4,7.8,73,북북서,,1008.2
고흥, ,20 이상, , ,22.7,19.0,25.1,2.3,80,북동,,1008.2
광양시, ,17.4, , ,22.1,19.2,24.8,0.2,84,북동,,1009.0
광주,구름많음,20 이상,7,7,24.0,22.2,27.1,0.8,90,북동,,1008.4
구미, ,20 이상, , ,21.6,18.3,24.1,0.3,82,서,,1010.5
군산, ,19.9, , ,25.4,18.5,26.8,0.0,66,북,,1009.3
금산, ,20 이상, , ,24.2,17.1,25.6, ,65,동,,1009.4
김해시, ,13.1, , ,23.8,19.9,26.2, ,79,북서,,1009.6
남원, ,20 이상, , ,22.5,18.0,24.6, ,76,동북동,,1008.7
남해, ,20 이상, , ,20.9,18.8,23.8,3.8,88,북,,1009.2
대관령, ,20 이상, , ,18.7,14.5,20.9, ,77,동남동,,1011.4
대구,흐림,20 이상,10,8,22.0,18.1,24.3,2.5,79,남남동,,1009.9
대전,구름조금,20 이상,3,1,26.6,19.2,27.9, ,64,남남동,,1009.6
동두천, ,20 이상, , ,25.8,17.7,26.8, ,61,남동,,1010.3
동해, ,20 이상, , ,23.9,18.7,25.8, ,73,북동,,1011.5
목포,구름많음,19.4,8,8,23.8,20.5,26.4,0.2,82,동북동,,1008.6
문경, ,20 이상, , ,23.0,17.2,24.7, ,70,동남동,,1009.6
밀양, ,20 이상, , ,23.5,19.0,25.7,1.0,76,북,,1008.5
백령도,맑음,20 이상,0,0,24.0,18.8,25.9, ,73,남동,,1008.5
보령, ,20 이상, , ,25.8,16.6,26.5, ,57,동북동,,1007.9
보성군, ,20 이상, , ,23.6,20.1,26.1,1.8,81, ,,1007.9
보은, ,20 이상, , ,23.8,15.8,24.8, ,61,북동,,1009.5
봉화, ,20 이상, , ,20.7,12.6,21.7,0.2,60,북북동,,1010.2
부산,흐림,20 이상,9,4,24.5,20.1,26.7,0.8,77,북동,,1007.5
부안, ,20 이상, , ,25.7,19.3,27.3,0.0,68,동북동,,1009.1
부여, ,19.8, , ,26.4,16.3,26.9, ,54,동,,1009.8
북강릉,구름조금,19.5,4,3,23.1,15.9,24.4, ,64,서북서,,1011.2
북창원, ,20 이상, , ,23.8,20.9,26.5,0.1,84,북서,,1008.7
북춘천,맑음,20 이상,2,2,25.6,15.0,25.9, ,52,북동,,1010.4
산청, ,8.5, , ,19.6,18.7,22.9,1.4,95,북북서,,1010.4
상주, ,20 이상, , ,23.5,19.2,25.7, ,77,남서,,1010.2
서귀포,구름많음,20 이상,6,6,26.1,23.7,29.1,87.0,87,동북동,,1006.7
서산, ,20 이상, , ,25.8,16.9,26.6, ,58,동북동,,1009.4
서울,맑음,20 이상,0,0,26.2,17.2,27.0, ,58,동북동,,1009.4
